col_celltype,ORL10,ORL11,ORL12,ORL13,ORL14,ORL15,ORL16,ORL17,ORL18,ORL18198,ORL18870,ORL19,ORL20,ORL21,ORL22,ORL23,ORL23168,ORL24,ORL25,ORL26,ORL27,ORL28,ORL29,ORL30,ORL31,ORL32,ORL33,ORL36,ORL37,ORL38,ORL38856,ORL39,ORL4,ORL40,ORL41,ORL4130,ORL42,ORL46282,ORL5,ORL54253,ORL57814,ORL6,ORL65661,ORL69828,ORL7,ORL71884,ORL73244,ORL73524,ORL75821,ORL7801,ORL7948,ORL8,ORL80904,ORL9,ORL9391,Otx-a WT
A-line,0.07183818801943592,0.20394043242995416,0.14577290661801323,0.04752754513819144,0.11857277135306203,0.09593578247647346,0.05587381414684855,0.12105369770504075,0.5207192846008437,1.3862787827236915,0.5811084433551604,0.6635495094216519,0.7934386606291071,0.6861633728460642,0.13270987860319644,0.13863812538358322,0.3003210317743676,0.7122262844696345,0.8985731393784966,1.7281950735648828,1.284739203120575,0.27240527675922754,0.31255255535571763,0.17087401154491233,0.13202779740017292,0.1088675237264878,0.18163104940385907,0.4803857638458971,0.195913593326421,0.1738368514507877,0.37437504492892715,0.206698527831806,0.5028471978706275,0.1669863987230692,0.20571307062598476,0.694364201242892,1.2516928845050752,1.0227070558463685,0.3209718975665264,0.18148271174109307,0.30765938292280237,0.13385788522618933,0.1984413999947032,0.5243360457370456,0.07467860570473261,0.08272590805762704,0.449345739302276,0.6286906707896313,0.17566727000560428,0.34004346610234737,0.7860475499059786,0.21171331431600385,0.11258068331765969,0.15880937783457513,0.23213995590435602,0.3586462162384169
B-line,0.037384054672397186,0.1054182294909385,0.12805291401789423,0.014851940961165587,0.017821663153030395,0.05036608134580359,0.14565603736630597,0.05512916572222941,0.27264856244255453,0.6238040413591086,0.29899413246691586,0.3141332969184708,0.3965215242057115,0.46843328085795816,0.08646350274604185,0.1391599895701494,0.19494661625015614,0.32561370070582546,0.4091800783203085,1.008680197436575,0.7727897060359122,0.23736055016918226,0.17743770415687135,0.05193539817616839,0.08519381068376569,0.07439379436917329,0.0,0.13197249714444778,0.08872407413931856,0.09709050774556365,0.16455380704655356,0.27743004343416516,0.20309513560157824,0.10405693785952089,0.09779095548526581,0.3330060921177396,0.6127700498726611,0.3948275183396256,0.1987999821689077,0.11836490966290897,0.18727181656265834,0.11174885431352262,0.2212527635294791,0.11802892232662411,0.0,0.19596639071345726,0.1728712955619011,0.37937898381489843,0.1264389450922469,0.10265743594922597,0.33731771274847483,0.09390895667927904,0.08350941105499445,0.10460757365096512,0.059729757144633425,0.23596623053839458
a6.5,0.35037231922236095,0.3135688604736987,0.4698286242194838,0.3008477576376414,0.5371404865176732,0.30821570737674614,0.6426898055950052,0.45678750599564943,2.5000618538847625,3.0752267475224677,2.420722712102766,2.1617940464099625,2.17276239625127,2.4409513628193116,0.42774728795026407,0.8068436310578219,1.3943300000245928,1.7721985922391588,2.0250387307570294,4.1961292754668635,3.309172878191503,0.8536673462404258,1.2308015577173943,0.5160113314401388,0.3466574354340248,0.3424845463640772,0.49300966931956547,1.6397533378406937,0.38163661288570305,0.6693267466603477,1.1583394160837113,0.45802709857127477,1.5630084485818942,0.4999542007175311,0.3123301830956749,2.650391218447204,3.422225098633179,2.4017061095072316,1.187553662858246,0.6845256230672131,1.4256360522160305,0.7944862493257376,0.7981192676872955,2.210099389654136,0.7736429675338089,0.30542566285435657,1.319885019059153,2.4824400510317326,1.5751358191416631,1.3195877982690731,2.3174365123637317,0.5144462611167295,0.4037442129270611,0.37793633948774963,0.46605591568600363,1.355678292827081
a6.7,0.12533279067202457,0.14993388017938594,0.3108758539665963,0.29266087694306825,0.22496896749107778,0.05773289178506015,0.097808791721152,0.0707553142419574,1.3316454202503163,1.845655825781205,0.931129798389857,1.133403621345414,1.0574459492631914,1.189877705587811,0.10074435268584685,0.0863352220942481,0.6443832409925702,1.0000817300837486,1.4840479028147606,2.506260373273701,1.6141235679598351,0.3193201960091941,0.9436756711622115,0.2163049728144828,0.08601423882749079,0.4069290638084567,0.03969688106243633,1.195436747148891,0.3170597726437072,0.09244975682498223,0.3270429681926714,0.3643120722956776,0.7852740214220908,0.07456844896131014,0.20873650052894885,1.2081353476680454,1.819412521355307,1.9528048507468678,0.7510005818754578,0.4499991836241822,0.6155425897204319,0.3331257159954633,0.8052340410498219,0.9026217235333398,0.6630088743834044,0.04434664061643809,0.5138493426467656,1.3319839688539246,0.41568470351805203,0.7315100185774104,1.1808152281947477,0.07338404467935646,0.21227874068922037,0.15621074086724696,0.15469535312613802,0.6463295514782817
b6.5,0.4356014207993362,0.5811511556670453,0.9056944475927327,0.35426083168204214,0.5223738817762679,0.2536305121220582,0.5217916246650904,0.9564286184725588,2.3269362987996893,2.718741668467026,2.410847018201266,2.217225094045082,1.8413639761645015,2.1188824110684523,0.5959202843589029,0.7607132367365502,1.3186097097943024,1.7015864755832542,1.5245846887121361,3.1213258824983723,2.680907340549035,1.1424861177890062,1.7840164243709673,0.6746757870578708,0.5766560588110833,0.6292926586145926,0.7708168545574553,2.0575179047065877,0.557227808394798,0.4124920875617257,1.668568928995504,0.5761653409228298,0.8885569864150373,0.40616200805055913,0.8174763515347214,2.6111478100584193,2.7378978699049434,2.4105675796044244,1.289289722867554,0.9957202420428208,1.800703550868954,1.1363588820657884,1.2664369778042215,1.9102694402652107,1.1208962705070589,0.8397801293193116,1.8891497585928188,2.6080551262923866,1.7230632754327235,1.448658683772888,2.409152753284821,0.48014628560825917,0.8694679374830386,0.6844611748245948,0.764315446302651,1.6823049047693188
