col_celltype,ORL10,ORL11,ORL12,ORL13,ORL14,ORL15,ORL16,ORL17,ORL18,ORL18198,ORL18870,ORL19,ORL20,ORL21,ORL22,ORL23,ORL23168,ORL24,ORL25,ORL26,ORL27,ORL28,ORL29,ORL30,ORL31,ORL32,ORL33,ORL36,ORL37,ORL38,ORL38856,ORL39,ORL4,ORL40,ORL41,ORL4130,ORL42,ORL46282,ORL5,ORL54253,ORL57814,ORL6,ORL65661,ORL69828,ORL7,ORL71884,ORL73244,ORL73524,ORL75821,ORL7801,ORL7948,ORL8,ORL80904,ORL9,ORL9391,Otx-a WT
A-line,0.015189873417721518,0.0326530612244898,0.03305785123966942,0.011494252873563218,0.029508196721311476,0.021653543307086614,0.006042296072507553,0.030303030303030304,0.13099041533546327,0.27044025157232704,0.1402359108781127,0.16,0.16666666666666666,0.16076294277929154,0.02556818181818182,0.03571428571428571,0.0696798493408663,0.1554054054054054,0.20808383233532934,0.3274582560296846,0.25287356321839083,0.06498194945848375,0.0761904761904762,0.03812316715542522,0.030373831775700934,0.026004728132387706,0.03870967741935484,0.12040557667934093,0.043010752688172046,0.042666666666666665,0.09208819714656291,0.04521276595744681,0.1276595744680851,0.03669724770642202,0.043557168784029036,0.1576271186440678,0.2644628099173554,0.20592592592592593,0.08088235294117647,0.03816793893129771,0.08278145695364239,0.034552845528455285,0.05089820359281437,0.12199630314232902,0.015384615384615385,0.02491103202846975,0.09622641509433963,0.1524609843937575,0.04288164665523156,0.09545454545454546,0.1764032073310424,0.038901601830663615,0.029556650246305417,0.03686635944700461,0.056666666666666664,0.09381237524950099
B-line,0.01092896174863388,0.02912621359223301,0.035897435897435895,0.0047169811320754715,0.007042253521126761,0.017391304347826087,0.029940119760479042,0.01764705882352941,0.07075471698113207,0.12951807228915663,0.07782101167315175,0.07116104868913857,0.06382978723404255,0.12077294685990338,0.024242424242424242,0.022598870056497175,0.04819277108433735,0.09826589595375723,0.10891089108910891,0.18469656992084432,0.13471502590673576,0.06930693069306931,0.04700854700854701,0.019230769230769232,0.023696682464454975,0.0228310502283105,0.0,0.036290322580645164,0.018292682926829267,0.02702702702702703,0.045454545454545456,0.059880239520958084,0.0481283422459893,0.020689655172413793,0.027237354085603113,0.08994708994708994,0.1360544217687075,0.09333333333333334,0.055865921787709494,0.033783783783783786,0.056338028169014086,0.03571428571428571,0.04065040650406504,0.03468208092485549,0.0,0.04201680672268908,0.05084745762711865,0.0989010989010989,0.025380710659898477,0.03260869565217391,0.09747292418772563,0.030303030303030304,0.0223463687150838,0.03592814371257485,0.016260162601626018,0.04
a6.5,0.06707317073170732,0.057971014492753624,0.10526315789473684,0.0646900269541779,0.10071942446043165,0.0731070496083551,0.11333333333333333,0.10773480662983426,0.44129554655870445,0.49837662337662336,0.43389830508474575,0.40512820512820513,0.38333333333333336,0.44346289752650175,0.096875,0.19004524886877827,0.26146788990825687,0.37411764705882355,0.3868312757201646,0.5692995529061102,0.4768856447688564,0.1978494623655914,0.2943327239488117,0.10119047619047619,0.07397260273972603,0.08533333333333333,0.11929824561403508,0.33687943262411346,0.06134969325153374,0.11986301369863013,0.2641165755919854,0.078125,0.3562231759656652,0.08582089552238806,0.07952286282306163,0.44849785407725323,0.5244648318042814,0.4262295081967213,0.26595744680851063,0.14175257731958762,0.30111524163568776,0.16778523489932887,0.1691842900302115,0.4146341463414634,0.18983050847457628,0.07307692307692308,0.27672955974842767,0.441025641025641,0.3138401559454191,0.2832980972515856,0.47957371225577267,0.10714285714285714,0.09668508287292818,0.08192090395480225,0.10793650793650794,0.3
a6.7,0.037037037037037035,0.015873015873015872,0.05825242718446602,0.05737704918032787,0.046511627906976744,0.014705882352941176,0.02247191011235955,0.02247191011235955,0.26666666666666666,0.3761904761904762,0.23295454545454544,0.22727272727272727,0.20930232558139536,0.23076923076923078,0.03125,0.0297029702970297,0.1724137931034483,0.1652892561983471,0.3115942028985507,0.4057377049180328,0.27419354838709675,0.07874015748031496,0.21084337349397592,0.06862745098039216,0.019230769230769232,0.09482758620689655,0.011764705882352941,0.24242424242424243,0.05747126436781609,0.013513513513513514,0.07236842105263158,0.07547169811320754,0.19117647058823528,0.024096385542168676,0.050359712230215826,0.2463768115942029,0.38461538461538464,0.3471502590673575,0.19424460431654678,0.07777777777777778,0.14084507042253522,0.075,0.16483516483516483,0.208,0.14492753623188406,0.014084507042253521,0.1171875,0.23737373737373738,0.1111111111111111,0.15447154471544716,0.26785714285714285,0.01834862385321101,0.053763440860215055,0.04838709677419355,0.03614457831325301,0.09649122807017543
b6.5,0.09310344827586207,0.0945273631840796,0.2,0.08310249307479224,0.09956709956709957,0.06666666666666667,0.11695906432748537,0.2268041237113402,0.41150442477876104,0.46632124352331605,0.43782837127845886,0.4444444444444444,0.36162361623616235,0.3931947069943289,0.11676646706586827,0.1926829268292683,0.2903981264637002,0.328537170263789,0.335632183908046,0.5120385232744783,0.4005305039787798,0.25591397849462366,0.34555984555984554,0.1314878892733564,0.12684365781710916,0.14173228346456693,0.15140845070422534,0.37735849056603776,0.12538226299694188,0.09090909090909091,0.32375478927203066,0.12751677852348994,0.2196969696969697,0.1016949152542373,0.19387755102040816,0.43249427917620137,0.468013468013468,0.4345991561181435,0.2799043062200957,0.21867321867321868,0.37014314928425357,0.2515592515592516,0.2375,0.3954659949622166,0.21481481481481482,0.20535714285714285,0.36936936936936937,0.45098039215686275,0.36699029126213595,0.3030973451327434,0.44086021505376344,0.10955056179775281,0.21465968586387435,0.1419939577039275,0.17132867132867133,0.3417085427135678
